"hs_code","Description"
"01","LIVE ANIMALS"
"0101","Live horses, asses, mules and hinnies"
"010121","Horses"
"010121","Pure-bred breeding animals"
"010129","Other"
"01012910","For slaughter"
"01012990","Other"
"010130","Asses"
"010190","Other"
"0102","Live bovine animals"
"010221","Cattle"
"010221","Pure-bred breeding animals"
"01022110","Heifers (female bovines that have never calved)"
"01022130","Cows"
"01022190","Other"
"010229","Other"
"01022905","Of the sub-genus Bibos or of the sub-genus Poephagus"
"01022910","Other"
"01022910","Of a weight not exceeding 80|kg"
"0102291010","Young male bovine animals, intended for fattening"
"0102291020","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter"
"0102291030","Heifers of the Schwyz and Fribourg breeds, other than for slaughter"
"0102291040","Heifers of the spotted Simmental breed, other than for slaughter"
"0102291050","Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter"
"0102291090","Other"
"01022921","Of a weight exceeding 80|kg but not exceeding 160|kg"
"01022921","For slaughter"
"01022929","Other"
"0102292910","Young male bovine animals, intended for fattening"
"0102292920","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
"0102292930","Heifers of the Schwyz and Fribourg breeds"
"0102292940","Heifers of the spotted Simmental breed"
"0102292950","Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
"0102292990","Other"
"01022941","Of a weight exceeding 160|kg but not exceeding 300|kg"
"01022941","For slaughter"
"01022949","Other"
"0102294910","Young male bovine animals, intended for fattening"
"0102294920","Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
"0102294930","Heifers and cows of the Schwyz and Fribourg breeds"
"0102294940","Heifers and cows of the spotted Simmental breed"
"0102294950","Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
"0102294990","Other"
"01022951","Of a weight exceeding 300|kg"
"01022951","Heifers (female bovines that have never calved)"
"01022951","For slaughter"
"0102295110","Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
"0102295190","Other"
"01022959","Other"
"0102295911","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
"0102295911","Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
"0102295919","Other"
"0102295921","Of the Schwyz and Fribourg breeds"
"0102295921","Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
"0102295929","Other"
"0102295931","Of the spotted Simmental breed"
"0102295931","Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
"0102295939","Other"
"0102295991","Other"
"0102295991","Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
"0102295999","Other"
"01022961","Cows"
"01022961","For slaughter"
"01022969","Other"
"0102296910","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
"0102296920","Of the Schwyz and Fribourg breeds"
"0102296930","Of the spotted Simmental breed"
"0102296990","Other"
"01022991","Other"
"01022991","For slaughter"
"0102299110","Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg"
"0102299190","Other"
"01022999","Other"
"0102299921","Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
"0102299921","Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg"
"0102299929","Other"
"0102299991","Other"
"0102299991","Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg"
"0102299999","Other"
"010231","Buffalo"
"010231","Pure-bred breeding animals"
"010239","Other"
"01023910","Domestic species"
"0102391010","Of a weight exceeding 160 kg"
"0102391090","Other"
"01023990","Other"
"010290","Other"
"01029020","Pure-bred breeding animals"
"01029091","Other"
"01029091","Domestic species"
"0102909110","Of a weight exceeding 160 kg"
"0102909190","Other"
"01029099","Other"
"0103","Live swine"
"010310","Pure-bred breeding animals"
"010391","Other"
"010391","Weighing less than 50|kg"
"01039110","Domestic species"
"01039190","Other"
"010392","Weighing 50|kg or more"
"01039211","Domestic species"
"01039211","Sows having farrowed at least once, of a weight of not less than 160|kg"
"01039219","Other"
"01039290","Other"
"0104","Live sheep and goats"
"010410","Sheep"
"01041010","Pure-bred breeding animals"
"01041030","Other"
"01041030","Lambs (up to a year old)"
"01041080","Other"
"010420","Goats"
"01042010","Pure-bred breeding animals"
"01042090","Other"
"0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
"010511","Weighing not more than 185|g"
"010511","Fowls of the species Gallus domesticus"
"01051111","Grandparent and parent female chicks"
"01051111","Laying stocks"
"01051119","Other"
"01051191","Other"
"01051191","Laying stocks"
"01051199","Other"
"010512","Turkeys"
"010513","Ducks"
"010514","Geese"
"010515","Guinea fowls"
"010594","Other"
"010594","Fowls of the species Gallus domesticus"
"010599","Other"
"01059910","Ducks"
"01059920","Geese"
"01059930","Turkeys"
"01059950","Guinea fowls"
"0106","Other live animals"
"010611","Mammals"
"010611","Primates"
"010612","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"010613","Camels and other camelids (Camelidae)"
"010614","Rabbits and hares"
"01061410","Domestic rabbits"
"01061490","Other"
"010619","Other"
"010620","Reptiles (including snakes and turtles)"
"010631","Birds"
"010631","Birds of prey"
"010632","Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
"010633","Ostriches; emus (Dromaius novaehollandiae)"
"010639","Other"
"01063910","Pigeons"
"01063980","Other"
"010641","Insects"
"010641","Bees"
"010649","Other"
"010690","Other"
"0106900010","Frogs"
"0106900010","Fit for human consumption"
"0106900019","Other"
"0106900090","Other"
"02","MEAT AND EDIBLE MEAT OFFAL"
"0201","Meat of bovine animals, fresh or chilled"
"020110","Carcases and half-carcases"
"0201100021","High quality beef and veal"
"0201100021","Of bison"
"0201100029","Other"
"0201100092","Other"
"0201100092","Carcases of a weight of 180|kg or more but not exceeding 300|kg and half-carcases, of a weight of 90|kg or more but not exceeding 150|kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apo"
"0201100092","Of bison"
"0201100094","Other"
"0201100097","Other"
"0201100097","Of bison"
"0201100098","Other"
"020120","Other cuts with bone in"
"02012020","'Compensated' quarters"
"0201202021","High quality beef and veal"
"0201202021","Of bison"
"0201202029","Other"
"0201202092","Other"
"0201202092","""Compensated"" quarters, of a weight of 90|kg or more but not exceeding 150|kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the f"
"0201202092","Of bison"
"0201202094","Other"
"0201202097","Other"
"0201202097","Of bison"
"0201202098","Other"
"02012030","Unseparated or separated forequarters"
"0201203021","High quality beef and veal"
"0201203021","Of bison"
"0201203029","Other"
"0201203092","Other"
"0201203092","Separated forequarters of a weight of 45|kg or more but not exceeding|75|kg, with a low degree of ossification of the cartilages (in particular those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely "
"0201203092","Of bison"
"0201203094","Other"
"0201203097","Other"
"0201203097","Of bison"
"0201203098","Other"
"02012050","Unseparated or separated hindquarters"
"0201205021","High quality beef and veal"
"0201205021","Of bison"
"0201205029","Other"
"0201205092","Other"
"0201205092","Separated hindquarters of a weight of 45|kg or more but not exceeding 75|kg (38|kg or more but not exceeding 68|kg in the case of ""Pistola"" cuts), with a low degree of ossification of the cartilages (more especially those of the vertebral apophyses), the "
"0201205092","Of bison"
"0201205094","Other"
"0201205097","Other"
"0201205097","Of bison"
"0201205098","Other"
"02012090","Other"
"0201209011","High quality beef and veal"
"0201209011","Of bison"
"0201209015","Other"
"0201209091","Other"
"0201209091","Of bison"
"0201209099","Other"
"020130","Boneless"
"0201300031","High quality"
"0201300031","Of bison"
"0201300039","Other"
"0201300041","Other"
"0201300041","Buffalo meat"
"0201300041","Of bison"
"0201300049","Other"
"0201300090","Other"
"0202","Meat of bovine animals, frozen"
"020210","Carcases and half-carcases"
"0202100011","High quality beef and veal"
"0202100011","Of bison"
"0202100015","Other"
"0202100091","Other"
"0202100091","Of bison"
"0202100099","Other"
"020220","Other cuts with bone in"
"02022010","'Compensated' quarters"
"0202201011","High quality beef and veal"
"0202201011","Of bison"
"0202201015","Other"
"0202201091","Other"
"0202201091","Of bison"
"0202201099","Other"
"02022030","Unseparated or separated forequarters"
"0202203011","High quality beef and veal"
"0202203011","Of bison"
"0202203015","Other"
"0202203081","Other"
"0202203081","Intended for processing"
"0202203081","For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of"
"0202203081","Of bison"
"0202203082","Other"
